1276	Let's try something.
1277	I have to go to sleep.
1280	Today is June 18th and it is Muiriel's birthday!
1282	Muiriel is 20 now.
1283	The password is "Muiriel".
1284	I will be back soon.
1286	I'm at a loss for words.
1287	This is never going to end.
1288	I just don't know what to say.
1289	That was an evil bunny.
1290	I was in the mountains.
1291	Is it a recent picture?
1292	I don't know if I have the time.
1294	Education in this world disappoints me.
1295	You're in better shape than I am.
1296	You are in my way.
1298	This will cost €30.
1299	I make €100 a day.
1300	I may give up soon and just nap instead.
1301	It's because you don't want to be alone.
1302	That won't happen.
1303	Sometimes he can be a strange guy.
1304	I'll do my best not to disturb your studying.
1305	I can only wonder if this is the same for everyone else.
1306	I suppose it's different when you think about it over the long term.
1308	I miss you.
1309	I'll call them tomorrow when I come back.
1310	I always liked mysterious characters more.
1311	You should sleep.
1312	I'm going to go.
1313	I told them to send me another ticket.
1314	You're so impatient with me.
1315	I can't live that kind of life.
1316	I once wanted to be an astrophysicist.
1317	I never liked biology.
1318	The last person I told my idea to thought I was nuts.
1319	If the world weren't in the shape it is now, I could trust anyone.
1320	It is unfortunately true.
1321	They are too busy fighting against each other to care for common ideals.
1322	Most people think I'm crazy.
1323	No I'm not; you are!
1324	That's MY line!
1326	Are you sure?
1327	Then there is a problem...
1328	Oh, there's a butterfly!
1329	Hurry up.
1330	It doesn't surprise me.
1332	For some reason I feel more alive at night.
1333	It depends on the context.
1335	That's the stupidest thing I've ever said.
1336	I don't want to be lame; I want to be cool!!
1337	When I grow up, I want to be a king.
1338	America is a lovely place to be, if you are here to earn money.
1339	I'm so fat.
1340	So what?
1341	I'm gonna shoot him.
1342	I'm not a real fish, I'm just a mere plushy.
1343	I'm just saying!
1344	That was probably what influenced their decision.
1345	I've always wondered what it'd be like to have siblings.
1347	It would take forever for me to explain everything.
1348	That's because you're a girl.
1349	Sometimes I can't help showing emotions.
1350	It's a word I'd like to find a substitute for.
1351	It would be something I'd have to program.
1352	I don't intend to be selfish.
1353	Let's consider the worst that could happen.
1354	How many close friends do you have?
1355	I may be antisocial, but it doesn't mean I don't talk to people.
1356	This is always the way it has been.
1357	I think it is best not to be impolite.
1358	One can always find time.
1359	I'd be unhappy, but I wouldn't kill myself.
1360	Back in high school, I got up at 6 a.m. every morning.
1361	When I woke up, I was sad.
